"dataset_id","survey_type_cd","survey_method_cd","dataset_type_cd","source_dataset_id","survey_width_m","who_created","date_created","share_level","admin_notes","import_notes","usgs_priority","noaa_priority","action_required","action_taken","discrete_time_unit","noaa_import_priority","funded","at_usgs","in_db","start_date","end_date","number_of_records","parent_project","qual_rpt","meta_std","resp_party","comments","sponsors","url_program","planned_speed_knots","area_covered_km2","progress","subject","keywords","title","version","abstract","purpose"
51,"g","cbc","og        ","AudubonCBC_ME08",,,,,,,,0,,,,,,"1","1",12/1/1974 0:00:00,12/31/1974 0:00:00,47,"Audubon","The quality of CBC counts varies widely by year because of observer differences.  Data are submitted for CBC circles measuring 15 miles in diameter and therefore are quite coarse in resolution.  While the data are useful as an index of species population change, they are somewhat more limited for looking at offshore distributional patterns.",,8,,,,,,"Complete","Christmas Bird Count","Christmas Bird Count","National Audubon Society Christmas Bird Count - Merrymeeting Bay [ME08]",1,"Christmas Bird Count is the annual census of birds within a designated count circle. Count circles usually occur on land, but can also be in the ocean or a combination of the two. These counts are done annually, though many counts were not repeated every year or have been discontinued. Observer numbers and quality varies widely and while minimal effort information is recorded there can be large differences in quality form year to year. Furthermore, data is recorded for an area and spatially only linked to the count center.","The primary objective of the Christmas Bird Count is to monitor the status and distribution of bird populations across the Western Hemisphere."
52,"g","cbc","og        ","AudubonCBC_ME0A",,,,,,,,0,,,,,,"1","1",12/1/1970 0:00:00,12/31/1973 0:00:00,89,"Audubon","The quality of CBC counts varies widely by year because of observer differences.  Data are submitted for CBC circles measuring 15 miles in diameter and therefore are quite coarse in resolution.  While the data are useful as an index of species population change, they are somewhat more limited for looking at offshore distributional patterns.",,8,,,,,,"Complete","Christmas Bird Count","Christmas Bird Count","National Audubon Society Christmas Bird Count - Penobscot Bay [ME0A]",1,"Christmas Bird Count is the annual census of birds within a designated count circle. Count circles usually occur on land, but can also be in the ocean or a combination of the two. These counts are done annually, though many counts were not repeated every year or have been discontinued. Observer numbers and quality varies widely and while minimal effort information is recorded there can be large differences in quality form year to year. Furthermore, data is recorded for an area and spatially only linked to the count center.","The primary objective of the Christmas Bird Count is to monitor the status and distribution of bird populations across the Western Hemisphere."
53,"g","cbc","og        ","AudubonCBC_ME0B",,,,,,,,0,,,,,,"1","1",12/1/1968 0:00:00,12/31/1973 0:00:00,156,"Audubon","The quality of CBC counts varies widely by year because of observer differences.  Data are submitted for CBC circles measuring 15 miles in diameter and therefore are quite coarse in resolution.  While the data are useful as an index of species population change, they are somewhat more limited for looking at offshore distributional patterns.",,8,,,,,,"Complete","Christmas Bird Count","Christmas Bird Count","National Audubon Society Christmas Bird Count - Bay of Fundy [ME0B]",1,"Christmas Bird Count is the annual census of birds within a designated count circle. Count circles usually occur on land, but can also be in the ocean or a combination of the two. These counts are done annually, though many counts were not repeated every year or have been discontinued. Observer numbers and quality varies widely and while minimal effort information is recorded there can be large differences in quality form year to year. Furthermore, data is recorded for an area and spatially only linked to the count center.","The primary objective of the Christmas Bird Count is to monitor the status and distribution of bird populations across the Western Hemisphere."
54,"g","cbc","og        ","AudubonCBC_MEBF",,,,,,,,0,,,,,,"1","1",12/1/2002 0:00:00,12/31/2004 0:00:00,182,"Audubon","The quality of CBC counts varies widely by year because of observer differences.  Data are submitted for CBC circles measuring 15 miles in diameter and therefore are quite coarse in resolution.  While the data are useful as an index of species population change, they are somewhat more limited for looking at offshore distributional patterns.",,8,,,,,,"Complete?","Christmas Bird Count","Christmas Bird Count","National Audubon Society Christmas Bird Count - North Penobscot Bay [MEBF]",1,"Christmas Bird Count is the annual census of birds within a designated count circle. Count circles usually occur on land, but can also be in the ocean or a combination of the two. These counts are done annually, though many counts were not repeated every year or have been discontinued. Observer numbers and quality varies widely and while minimal effort information is recorded there can be large differences in quality form year to year. Furthermore, data is recorded for an area and spatially only linked to the count center.","The primary objective of the Christmas Bird Count is to monitor the status and distribution of bird populations across the Western Hemisphere."
55,"g","cbc","og        ","AudubonCBC_MEMB",,,,,,,,0,,,,,,"1","1",12/1/1979 0:00:00,12/31/2004 0:00:00,1460,"Audubon","The quality of CBC counts varies widely by year because of observer differences.  Data are submitted for CBC circles measuring 15 miles in diameter and therefore are quite coarse in resolution.  While the data are useful as an index of species population change, they are somewhat more limited for looking at offshore distributional patterns.",,8,,,,,,"Complete?","Christmas Bird Count","Christmas Bird Count","National Audubon Society Christmas Bird Count - Machias Bay [MEMB]",1,"Christmas Bird Count is the annual census of birds within a designated count circle. Count circles usually occur on land, but can also be in the ocean or a combination of the two. These counts are done annually, though many counts were not repeated every year or have been discontinued. Observer numbers and quality varies widely and while minimal effort information is recorded there can be large differences in quality form year to year. Furthermore, data is recorded for an area and spatially only linked to the count center.","The primary objective of the Christmas Bird Count is to monitor the status and distribution of bird populations across the Western Hemisphere."
56,"g","cbc","og        ","AudubonCBC_NJ0A",,,,,,,,0,,,,,,"1","1",12/1/1977 0:00:00,12/31/1977 0:00:00,11,"Audubon","The quality of CBC counts varies widely by year because of observer differences.  Data are submitted for CBC circles measuring 15 miles in diameter and therefore are quite coarse in resolution.  While the data are useful as an index of species population change, they are somewhat more limited for looking at offshore distributional patterns.",,8,,,,,,"Complete","Christmas Bird Count","Christmas Bird Count","National Audubon Society Christmas Bird Count - Atlantic Ocean off New Jersey [NJ0A]",1,"Christmas Bird Count is the annual census of birds within a designated count circle. Count circles usually occur on land, but can also be in the ocean or a combination of the two. These counts are done annually, though many counts were not repeated every year or have been discontinued. Observer numbers and quality varies widely and while minimal effort information is recorded there can be large differences in quality form year to year. Furthermore, data is recorded for an area and spatially only linked to the count center.","The primary objective of the Christmas Bird Count is to monitor the status and distribution of bird populations across the Western Hemisphere."
57,"g","cbc","og        ","AudubonCBC_NJ0R",,,,,,,,0,,,,,,"1","1",12/1/1980 0:00:00,12/31/1988 0:00:00,81,"Audubon","The quality of CBC counts varies widely by year because of observer differences.  Data are submitted for CBC circles measuring 15 miles in diameter and therefore are quite coarse in resolution.  While the data are useful as an index of species population change, they are somewhat more limited for looking at offshore distributional patterns.",,8,,,,,,"Complete","Christmas Bird Count","Christmas Bird Count","National Audubon Society Christmas Bird Count - Atlantic Ocean off New Jersey [NJ0R]",1,"Christmas Bird Count is the annual census of birds within a designated count circle. Count circles usually occur on land, but can also be in the ocean or a combination of the two. These counts are done annually, though many counts were not repeated every year or have been discontinued. Observer numbers and quality varies widely and while minimal effort information is recorded there can be large differences in quality form year to year. Furthermore, data is recorded for an area and spatially only linked to the count center.","The primary objective of the Christmas Bird Count is to monitor the status and distribution of bird populations across the Western Hemisphere."
58,"g","cbc","og        ","AudubonCBC_NJ0S",,,,,,,,0,,,,,,"1","1",12/1/1975 0:00:00,12/31/1979 0:00:00,50,"Audubon","The quality of CBC counts varies widely by year because of observer differences.  Data are submitted for CBC circles measuring 15 miles in diameter and therefore are quite coarse in resolution.  While the data are useful as an index of species population change, they are somewhat more limited for looking at offshore distributional patterns.",,8,,,,,,"Complete","Christmas Bird Count","Christmas Bird Count","National Audubon Society Christmas Bird Count - Atlantic Ocean off New Jersey [NJOS]",1,"Christmas Bird Count is the annual census of birds within a designated count circle. Count circles usually occur on land, but can also be in the ocean or a combination of the two. These counts are done annually, though many counts were not repeated every year or have been discontinued. Observer numbers and quality varies widely and while minimal effort information is recorded there can be large differences in quality form year to year. Furthermore, data is recorded for an area and spatially only linked to the count center.","The primary objective of the Christmas Bird Count is to monitor the status and distribution of bird populations across the Western Hemisphere."
59,"g","cbc","og        ","AudubonCBC_NJAO",,,,,,,,0,,,,,,"1","1",12/1/1989 0:00:00,12/31/1995 0:00:00,70,"Audubon","The quality of CBC counts varies widely by year because of observer differences.  Data are submitted for CBC circles measuring 15 miles in diameter and therefore are quite coarse in resolution.  While the data are useful as an index of species population change, they are somewhat more limited for looking at offshore distributional patterns.",,8,,,,,,"Complete","Christmas Bird Count","Christmas Bird Count","National Audubon Society Christmas Bird Count - NJ: Atlantic Ocean offshore [NJAO]",1,"Christmas Bird Count is the annual census of birds within a designated count circle. Count circles usually occur on land, but can also be in the ocean or a combination of the two. These counts are done annually, though many counts were not repeated every year or have been discontinued. Observer numbers and quality varies widely and while minimal effort information is recorded there can be large differences in quality form year to year. Furthermore, data is recorded for an area and spatially only linked to the count center.","The primary objective of the Christmas Bird Count is to monitor the status and distribution of bird populations across the Western Hemisphere."
60,"g","cbc","og        ","AudubonCBC_NJNJ",,,,,,,,0,,,,,,"1","1",12/1/1998 0:00:00,12/31/1999 0:00:00,32,"Audubon","The quality of CBC counts varies widely by year because of observer differences.  Data are submitted for CBC circles measuring 15 miles in diameter and therefore are quite coarse in resolution.  While the data are useful as an index of species population change, they are somewhat more limited for looking at offshore distributional patterns.",,8,,,,,,"Complete","Christmas Bird Count","Christmas Bird Count","National Audubon Society Christmas Bird Count - New Jersey pelagic [NJNJ]",1,"Christmas Bird Count is the annual census of birds within a designated count circle. Count circles usually occur on land, but can also be in the ocean or a combination of the two. These counts are done annually, though many counts were not repeated every year or have been discontinued. Observer numbers and quality varies widely and while minimal effort information is recorded there can be large differences in quality form year to year. Furthermore, data is recorded for an area and spatially only linked to the count center.","The primary objective of the Christmas Bird Count is to monitor the status and distribution of bird populations across the Western Hemisphere."
61,"g","cbc","og        ","AudubonCBC_NY1Q",,,,,,,,0,,,,,,"1","1",12/1/1949 0:00:00,12/31/1949 0:00:00,13,"Audubon","The quality of CBC counts varies widely by year because of observer differences.  Data are submitted for CBC circles measuring 15 miles in diameter and therefore are quite coarse in resolution.  While the data are useful as an index of species population change, they are somewhat more limited for looking at offshore distributional patterns.",,7,,,,,,"Complete","Christmas Bird Count","Christmas Bird Count","National Audubon Society Christmas Bird Count - at sea off Brooklyn [NY1Q]",1,"Christmas Bird Count is the annual census of birds within a designated count circle. Count circles usually occur on land, but can also be in the ocean or a combination of the two. These counts are done annually, though many counts were not repeated every year or have been discontinued. Observer numbers and quality varies widely and while minimal effort information is recorded there can be large differences in quality form year to year. Furthermore, data is recorded for an area and spatially only linked to the count center.","The primary objective of the Christmas Bird Count is to monitor the status and distribution of bird populations across the Western Hemisphere."
62,"g","cbc","og        ","AudubonCBC_NY1R",,,,,,,,0,,,,,,"1","1",12/1/1907 0:00:00,12/31/1907 0:00:00,7,"Audubon","The quality of CBC counts varies widely by year because of observer differences.  Data are submitted for CBC circles measuring 15 miles in diameter and therefore are quite coarse in resolution.  While the data are useful as an index of species population change, they are somewhat more limited for looking at offshore distributional patterns.",,8,,,,,,"Complete","Christmas Bird Count","Christmas Bird Count","National Audubon Society Christmas Bird Count - New York Harbor to and at the Cholera Bank [NY1R]",1,"Christmas Bird Count is the annual census of birds within a designated count circle. Count circles usually occur on land, but can also be in the ocean or a combination of the two. These counts are done annually, though many counts were not repeated every year or have been discontinued. Observer numbers and quality varies widely and while minimal effort information is recorded there can be large differences in quality form year to year. Furthermore, data is recorded for an area and spatially only linked to the count center.","The primary objective of the Christmas Bird Count is to monitor the status and distribution of bird populations across the Western Hemisphere."
63,"g","cbc","og        ","AudubonCBC_NY1S",,,,,,,,0,,,,,,"1","1",12/1/1952 0:00:00,12/31/1975 0:00:00,13,"Audubon","The quality of CBC counts varies widely by year because of observer differences.  Data are submitted for CBC circles measuring 15 miles in diameter and therefore are quite coarse in resolution.  While the data are useful as an index of species population change, they are somewhat more limited for looking at offshore distributional patterns.",,8,,,,,,"Complete","Christmas Bird Count","Christmas Bird Count","National Audubon Society Christmas Bird Count - L.I. Atlantic Ocean off Fire Island [NY1S]",1,"Christmas Bird Count is the annual census of birds within a designated count circle. Count circles usually occur on land, but can also be in the ocean or a combination of the two. These counts are done annually, though many counts were not repeated every year or have been discontinued. Observer numbers and quality varies widely and while minimal effort information is recorded there can be large differences in quality form year to year. Furthermore, data is recorded for an area and spatially only linked to the count center.","The primary objective of the Christmas Bird Count is to monitor the status and distribution of bird populations across the Western Hemisphere."
64,"g","cbc","og        ","AudubonCBC_NY1W",,,,,,,,0,,,,,,"1","1",12/1/1944 0:00:00,12/31/1959 0:00:00,68,"Audubon","The quality of CBC counts varies widely by year because of observer differences.  Data are submitted for CBC circles measuring 15 miles in diameter and therefore are quite coarse in resolution.  While the data are useful as an index of species population change, they are somewhat more limited for looking at offshore distributional patterns.",,8,,,,,,"Complete","Christmas Bird Count","Christmas Bird Count","National Audubon Society Christmas Bird Count - L.I. Atlantic Ocean off Fire Island [NY1W]",1,"Christmas Bird Count is the annual census of birds within a designated count circle. Count circles usually occur on land, but can also be in the ocean or a combination of the two. These counts are done annually, though many counts were not repeated every year or have been discontinued. Observer numbers and quality varies widely and while minimal effort information is recorded there can be large differences in quality form year to year. Furthermore, data is recorded for an area and spatially only linked to the count center.","The primary objective of the Christmas Bird Count is to monitor the status and distribution of bird populations across the Western Hemisphere."
65,"g","cbc","og        ","AudubonCBC_NY1X",,,,,,,,0,,,,,,"1","1",12/1/1909 0:00:00,12/31/1914 0:00:00,51,"Audubon","The quality of CBC counts varies widely by year because of observer differences.  Data are submitted for CBC circles measuring 15 miles in diameter and therefore are quite coarse in resolution.  While the data are useful as an index of species population change, they are somewhat more limited for looking at offshore distributional patterns.",,8,,,,,,"Complete","Christmas Bird Count","Christmas Bird Count","National Audubon Society Christmas Bird Count - New York City- New York City Battery - 17 fathoms [NY1X]",1,"Christmas Bird Count is the annual census of birds within a designated count circle. Count circles usually occur on land, but can also be in the ocean or a combination of the two. These counts are done annually, though many counts were not repeated every year or have been discontinued. Observer numbers and quality varies widely and while minimal effort information is recorded there can be large differences in quality form year to year. Furthermore, data is recorded for an area and spatially only linked to the count center.","The primary objective of the Christmas Bird Count is to monitor the status and distribution of bird populations across the Western Hemisphere."
66,"g","cbc","og        ","AudubonCBC_NY21",,,,,,,,0,,,,,,"1","1",12/1/1917 0:00:00,12/31/1917 0:00:00,5,"Audubon","The quality of CBC counts varies widely by year because of observer differences.  Data are submitted for CBC circles measuring 15 miles in diameter and therefore are quite coarse in resolution.  While the data are useful as an index of species population change, they are somewhat more limited for looking at offshore distributional patterns.",,8,,,,,,"Complete","Christmas Bird Count","Christmas Bird Count","National Audubon Society Christmas Bird Count - New York City- Atlantic Ocean [NY21]",1,"Christmas Bird Count is the annual census of birds within a designated count circle. Count circles usually occur on land, but can also be in the ocean or a combination of the two. These counts are done annually, though many counts were not repeated every year or have been discontinued. Observer numbers and quality varies widely and while minimal effort information is recorded there can be large differences in quality form year to year. Furthermore, data is recorded for an area and spatially only linked to the count center.","The primary objective of the Christmas Bird Count is to monitor the status and distribution of bird populations across the Western Hemisphere."
67,"g","cbc","og        ","AudubonCBC_NY39",,,,,,,,0,,,,,,"1","1",12/1/1908 0:00:00,12/31/1912 0:00:00,62,"Audubon","The quality of CBC counts varies widely by year because of observer differences.  Data are submitted for CBC circles measuring 15 miles in diameter and therefore are quite coarse in resolution.  While the data are useful as an index of species population change, they are somewhat more limited for looking at offshore distributional patterns.",,8,,,,,,"Complete","Christmas Bird Count","Christmas Bird Count","National Audubon Society Christmas Bird Count - 130th st. ferry [NY39]",1,"Christmas Bird Count is the annual census of birds within a designated count circle. Count circles usually occur on land, but can also be in the ocean or a combination of the two. These counts are done annually, though many counts were not repeated every year or have been discontinued. Observer numbers and quality varies widely and while minimal effort information is recorded there can be large differences in quality form year to year. Furthermore, data is recorded for an area and spatially only linked to the count center.","The primary objective of the Christmas Bird Count is to monitor the status and distribution of bird populations across the Western Hemisphere."
68,"g","cbc","og        ","AudubonCBC_VACB",,,,,,,,0,,,,,,"1","1",12/1/1992 0:00:00,12/31/2004 0:00:00,310,"Audubon","The quality of CBC counts varies widely by year because of observer differences.  Data are submitted for CBC circles measuring 15 miles in diameter and therefore are quite coarse in resolution.  While the data are useful as an index of species population change, they are somewhat more limited for looking at offshore distributional patterns.",,8,,,,,,"Complete?","Christmas Bird Count","Christmas Bird Count","National Audubon Society Christmas Bird Count - Chesapeake Bay [VACB]",1,"Christmas Bird Count is the annual census of birds within a designated count circle. Count circles usually occur on land, but can also be in the ocean or a combination of the two. These counts are done annually, though many counts were not repeated every year or have been discontinued. Observer numbers and quality varies widely and while minimal effort information is recorded there can be large differences in quality form year to year. Furthermore, data is recorded for an area and spatially only linked to the count center.","The primary objective of the Christmas Bird Count is to monitor the status and distribution of bird populations across the Western Hemisphere."
69,"b","cts","ot        ","HerringAcoustic09Leg1",300,,,5,,,,0,,,,,,"1","1",9/12/2009 0:00:00,9/17/2009 0:00:00,1034,"HerringAcoustic",,,11,,,,,,"Complete","seabird and marine mammal survey","herring, acoustic herring survey, seabirds, cetaceans, Gulf of Maine","Acoustic Herring Survey 2009 Leg 1",1,"Seabird and marine mammal surveys conducted during NOAA research cruises during 2009 as part of National Marine Fisheries Service Acoustic Herring survey in the Gulf of Maine.","Seabird and marine mammal surveys"
70,"b","cts","ot        ","HerringAcoustic09Leg2",300,,,5,,,,0,,,,,,"1","1",9/21/2009 0:00:00,10/1/2009 0:00:00,2286,"HerringAcoustic",,,11,,,,,,"Complete","marine mammal survey","herring, acoustic herring survey, seabirds, cetaceans, Gulf of Maine","Acoustic Herring Survey 2009 Leg 2",1,"Seabird and marine mammal surveys conducted during NOAA research cruises during 2009 as part of National Marine Fisheries Service Acoustic Herring survey in the Gulf of Maine.","Seabird and marine mammal surveys"
71,"b","cts","ot        ","HerringAcoustic09Leg3",300,,,5,,,,0,,,,,,"1","1",10/6/2009 0:00:00,10/15/2009 0:00:00,2519,"HerringAcoustic",,,11,,,,,,"Complete","seabird and marine mammal survey","herring, acoustic herring survey, seabirds, cetaceans, Gulf of Maine","Acoustic Herring Survey 2009 Leg 3",1,"Seabird and marine mammal surveys conducted during NOAA research cruises during 2009 as part of National Marine Fisheries Service Acoustic Herring survey in the Gulf of Maine.","Seabird and marine mammal surveys"
73,"b","tss","ot        ","HassNC",,,,5,,,,0,,,,,,"1","1",5/24/1992 0:00:00,7/30/1995 0:00:00,1747,,,,42,,,,,,"Complete","seabird survey","seabirds, Gulf Stream, North Carolina","Hass North Carolina",1,"Seabird survey conducted by Todd Hass while on pelagic seabird tour boat to study distributions of pelagic seabirds in relation to dynamic features of the Gulf Stream.","To study distributions of pelagic seabirds in relation to dynamic features of the Gulf Stream."
74,"b","go","og        ","Mayr1938TransAtlantic",,,,5,,,,0,,,,,,"1","1",7/31/1938 0:00:00,8/5/1938 0:00:00,46,,"Data is of limited use, observations are not tied to survey points or transects.",,,"This data is located in the referenced journal article.",,,,,"Complete","seabird observations","seabird, transatlantic","E. Mayr survey Ireland to New York",1,"Survey for seabirds inferred from a paper by E. Mayr describing his passage from Cobh, irland to New Yor, New York in the late summer of  1938.","Document seabirds during a transatlantic crossing."
75,"a","cts","ot        ","PlattsBankAerial",,,,5,,,,0,,,,,,"1","1",7/11/2005 0:00:00,7/29/2005 0:00:00,961,,,,39," Acknowledge the use of specific records from contributing databases in the form appearing in the Citation field thereof (if any); and acknowledge the use of the OBIS facility.

For information purposes, email to obissupport@marine.rutgers.edu the full citation of any publication made (printed or electronic) that cites OBIS or any constituent part.

Recognize the limitations of data in OBIS.",,,,,"Complete","seabird and marine mammal survey","seabirds, marine mammals, large fish, upper trophic level predators, Platts Bank","Aerial survey of upper trophic level predators on Platts Bank, Gulf of Maine",1,"The study area is located 50 km from shore in the western Gulf of Maine and covers 1672 km2, including Platts Bank, Three Dory Ridge and surrounding deep water. Platts Bank (43°10?N, 069°40?W) is a glacial deposit composed primarily of sand and gravel. When defined by the 100 m isobath, the bank is approximately 15 km in its longest dimension and has an area <140 km2.

Aerial surveys were flown on ten days from July 11 to 29, 2005 to record the distribution and relative abundance of marine mammals, birds and large fish. Surveys were typically conducted in the morning or early afternoon and consisted of six transects, each 46 km long oriented on an East-West axis to minimize interference from reflected sunlight. Survey legs were flown at 185 km/hr and an altitude of 230 m using a high-wing, twin-engine aircraft. Observation effort (two observers) was concentrated from both sides of the plane perpendicular to the flight path. To estimate the distances of sightings of mammals and fish from the plane?s flight path, sightings were binned into five groupings corresponding to 15 degrees of arc from 15° (the area directly beneath the plane was not visible) to 90°. When species identification or number of individuals was uncertain, search effort was interrupted while the plane circled to confirm identifications and number of individuals and to obtain a more precise location. Birds were recorded only within a 170 m strip on each side of the aircraft (15° to 45° of arc) during the survey legs. Sightings of birds continued when the plane circled for closer inspection of mammals and fish, but these data were not used in analyses since this would bias bird sightings towards areas where cetaceans were concentrated. Data were recorded by a dedicated data recorder directly onto a computer using software that recorded the time and location from the GPS navigation system aboard the plane at regular intervals throughout the flight and for each recorded sighting.","Record the distribution and relative abundance of marine mammals, birds and large fish."
76,"b","cts","ot        ","EcoMonNov09",300,,,5,,,,0,,,,,,"1","1",11/3/2009 0:00:00,11/19/2009 0:00:00,2541,"EcoMon","This dataset is very good, with excellent coverage of the Northeast continental shelf.  The surveys were conducted using modern survey methods and GPS equipment.  Data were recorded as continuous track data of very high resolution.  The observations have been validated and sampling effort data is available.",,11,"Data were received as a single Microsoft Excel data file with mixed observation and GPS track position information recorded using the survey program DLOG (R.G. Ford Consulting, Portland, OR).  Data were initially transferred to a Microsoft Access database for initial standardization and formatting.  These data were standardized for date/time and species codes and cleaned for data-entry errors when possible.  Data were then imported into ArcGIS for further processing.  Observation data were separated into an observation point featureclass for GIS and sampling effort data was created from positional information.  We developed an ArcObjects program to generate transects from the GPS positional data, creating variable distance/time transects for periods of continuous survey periods and identifying off-survey periods (e.g., fish sampling stations, CTD casts, etc.).  Observation points were linked to transects when they occurred during survey periods.",,,,,"Complete","seabird and marine mammal survey","seabirds, cetaceans, EcoMonitoring Cruise","EcoMon November 2009",1,"Seabird and marine mammal surveys conducted aboard the NOAA EcoMon cruise during November 2009.","Survey seabirds in the Northeast Shelf Ecosystem."
77,"b","cts","ot        ","EcoMonAug08",300,,,5,,,,0,,,,,,"1","1",8/14/2008 0:00:00,8/26/2008 0:00:00,1442,"EcoMon","This dataset is very good, with excellent coverage of the Northeast continental shelf.  The surveys were conducted using modern survey methods and GPS equipment.  Data were recorded as continuous track data of very high resolution.  The observations have been validated and sampling effort data is available.",,11,"Data were received as a single Microsoft Excel data file with mixed observation and GPS track position information recorded using the survey program DLOG (R.G. Ford Consulting, Portland, OR).  Data were initially transferred to a Microsoft Access database for initial standardization and formatting.  These data were standardized for date/time and species codes and cleaned for data-entry errors when possible.  Data were then imported into ArcGIS for further processing.  Observation data were separated into an observation point featureclass for GIS and sampling effort data was created from positional information.  We developed an ArcObjects program to generate transects from the GPS positional data, creating variable distance/time transects for periods of continuous survey periods and identifying off-survey periods (e.g., fish sampling stations, CTD casts, etc.).  Observation points were linked to transects when they occurred during survey periods.",,,,,"Complete","seabird and marine mammal survey","seabirds, cetaceans, EcoMonitoring Cruise","EcoMon August 2008",1,"Seabird and marine mammal surveys conducted aboard the NOAA EcoMon cruise during August 2008.","Survey seabirds in the Northeast Shelf Ecosystem."
78,"b","cts","ot        ","HerringAcoustic06",300,,,5,,,,0,,,,,,"1","1",9/19/2006 0:00:00,9/28/2006 0:00:00,2135,"HerringAcoustic","The surveys were conducted using modern survey methods and GPS equipment.  Data were recorded as continuous track data of very high resolution.  The observations have been validated and sampling effort data is available.",,11,,,,,,"Complete","seabird and marine mammal survey","herring, acoustic herring survey, seabirds, cetaceans, Gulf of Maine","Acoustic Herring Survey 2006",1,"Seabird and marine mammal surveys conducted during NOAA research cruises during 2006 as part of National Marine Fisheries Service Acoustic Herring survey in the Gulf of Maine.","Seabird and marine mammal surveys"
79,"b","cts","ot        ","EcoMonFeb10",300,,,5,,,,0,,,,,,"1","1",2/3/2010 0:00:00,2/17/2010 0:00:00,2130,"EcoMon","This dataset is very good, with excellent coverage of the Northeast continental shelf.  The surveys were conducted using modern survey methods and GPS equipment.  Data were recorded as continuous track data of very high resolution.  The observations have been validated and sampling effort data is available.",,11,"Data were received as a single Microsoft Excel data file with mixed observation and GPS track position information recorded using the survey program DLOG (R.G. Ford Consulting, Portland, OR).  Data were initially transferred to a Microsoft Access database for initial standardization and formatting.  These data were standardized for date/time and species codes and cleaned for data-entry errors when possible.  Data were then imported into ArcGIS for further processing.  Observation data were separated into an observation point featureclass for GIS and sampling effort data was created from positional information.  We developed an ArcObjects program to generate transects from the GPS positional data, creating variable distance/time transects for periods of continuous survey periods and identifying off-survey periods (e.g., fish sampling stations, CTD casts, etc.).  Observation points were linked to transects when they occurred during survey periods.",,,,,"Complete","seabird and marine mammal survey","seabirds, cetaceans, EcoMonitoring Cruise","EcoMon February 2010",1,"Seabird and marine mammal surveys conducted aboard the NOAA EcoMon cruise during February 2010.","Survey seabirds in the Northeast Shelf Ecosystem."
80,"b","cts","ot        ","EcoMonMay10",300,,,5,,,,0,,,,,,"1","1",5/1/2010 0:00:00,5/31/2010 0:00:00,4014,"EcoMon","This dataset is very good, with excellent coverage of the Northeast continental shelf.  The surveys were conducted using modern survey methods and GPS equipment.  Data were recorded as continuous track data of very high resolution.  The observations have been validated and sampling effort data is available.",,11,"Data were received as a single Microsoft Excel data file with mixed observation and GPS track position information recorded using the survey program DLOG (R.G. Ford Consulting, Portland, OR).  Data were initially transferred to a Microsoft Access database for initial standardization and formatting.  These data were standardized for date/time and species codes and cleaned for data-entry errors when possible.  Data were then imported into ArcGIS for further processing.  Observation data were separated into an observation point featureclass for GIS and sampling effort data was created from positional information.  We developed an ArcObjects program to generate transects from the GPS positional data, creating variable distance/time transects for periods of continuous survey periods and identifying off-survey periods (e.g., fish sampling stations, CTD casts, etc.).  Observation points were linked to transects when they occurred during survey periods.",,,,,"Complete","seabird and marine mammal survey","seabirds, cetaceans, EcoMonitoring Cruise","EcoMon May 2010",1,"Seabird and marine mammal surveys conducted aboard the NOAA EcoMon cruise during May 2010.","Survey seabirds in the Northeast Shelf Ecosystem."
81,"b","cts","ot        ","EcoMonNov10",300,,,5,,,,0,,,,,,"1","1",11/1/2010 0:00:00,11/30/2010 0:00:00,4368,"EcoMon","This dataset is very good, with excellent coverage of the Northeast continental shelf.  The surveys were conducted using modern survey methods and GPS equipment.  Data were recorded as continuous track data of very high resolution.  The observations have been validated and sampling effort data is available.",,11,"Data were received as a single Microsoft Excel data file with mixed observation and GPS track position information recorded using the survey program DLOG (R.G. Ford Consulting, Portland, OR).  Data were initially transferred to a Microsoft Access database for initial standardization and formatting.  These data were standardized for date/time and species codes and cleaned for data-entry errors when possible.  Data were then imported into ArcGIS for further processing.  Observation data were separated into an observation point featureclass for GIS and sampling effort data was created from positional information.  We developed an ArcObjects program to generate transects from the GPS positional data, creating variable distance/time transects for periods of continuous survey periods and identifying off-survey periods (e.g., fish sampling stations, CTD casts, etc.).  Observation points were linked to transects when they occurred during survey periods.",,,,,"Complete","seabird and marine mammal survey","seabirds, cetaceans, EcoMonitoring Cruise","EcoMon November 2010",1,"Seabird and marine mammal surveys conducted aboard the NOAA EcoMon cruise during November 2010.","Survey seabirds in the Northeast Shelf Ecosystem."
